timestamp,moeda,preco_brl
2025-09-08 17:09:46,bitcoin,607120
2025-09-08 17:09:46,ethereum,23243
2025-09-08 17:09:46,cardano,4.68
2025-09-08 17:09:46,solana,1167.56
2025-09-08 17:14:47,bitcoin,607163
2025-09-08 17:14:47,ethereum,23250
2025-09-08 17:14:47,cardano,4.68
2025-09-08 17:14:47,solana,1167.3
2025-09-08 17:19:47,bitcoin,607063
2025-09-08 17:19:47,ethereum,23238
2025-09-08 17:19:47,cardano,4.67
2025-09-08 17:19:47,solana,1167.17
2025-09-08 17:24:48,bitcoin,607115
2025-09-08 17:24:48,ethereum,23223
2025-09-08 17:24:48,cardano,4.67
2025-09-08 17:24:48,solana,1165.47
2025-09-08 17:29:48,bitcoin,607427
2025-09-08 17:29:48,ethereum,23240
2025-09-08 17:29:48,cardano,4.67
2025-09-08 17:29:48,solana,1163.98
2025-09-08 17:34:49,bitcoin,607245
2025-09-08 17:34:49,ethereum,23300
2025-09-08 17:34:49,cardano,4.67
2025-09-08 17:34:49,solana,1164.62
2025-09-08 17:39:49,bitcoin,607077
2025-09-08 17:39:49,ethereum,23283
2025-09-08 17:39:49,cardano,4.67
2025-09-08 17:39:49,solana,1163.9
2025-09-08 17:44:50,bitcoin,607085
2025-09-08 17:44:50,ethereum,23266
2025-09-08 17:44:50,cardano,4.67
2025-09-08 17:44:50,solana,1163.23
2025-09-08 17:49:51,bitcoin,606766
2025-09-08 17:49:51,ethereum,23253
2025-09-08 17:49:51,cardano,4.66
2025-09-08 17:49:51,solana,1161.54
2025-09-08 17:54:51,bitcoin,607127
2025-09-08 17:54:51,ethereum,23288
2025-09-08 17:54:51,cardano,4.66
2025-09-08 17:54:51,solana,1161.79
2025-09-08 17:59:52,bitcoin,607098
2025-09-08 17:59:52,ethereum,23297
2025-09-08 17:59:52,cardano,4.66
2025-09-08 17:59:52,solana,1162.74
2025-09-08 18:09:19,bitcoin,606642
2025-09-08 18:09:19,ethereum,23287
2025-09-08 18:09:19,cardano,4.66
2025-09-08 18:09:19,solana,1162.87
2025-09-08 18:14:20,bitcoin,606672
2025-09-08 18:14:20,ethereum,23299
2025-09-08 18:14:20,cardano,4.67
2025-09-08 18:14:20,solana,1162.44
2025-09-08 18:19:20,bitcoin,607321
2025-09-08 18:19:20,ethereum,23327
2025-09-08 18:19:20,cardano,4.67
2025-09-08 18:19:20,solana,1163.57
2025-09-08 18:24:21,bitcoin,607308
2025-09-08 18:24:21,ethereum,23332
2025-09-08 18:24:21,cardano,4.67
2025-09-08 18:24:21,solana,1165.45
2025-09-08 18:29:22,bitcoin,607689
2025-09-08 18:29:22,ethereum,23352
2025-09-08 18:29:22,cardano,4.69
2025-09-08 18:29:22,solana,1167.59
2025-09-08 18:34:23,bitcoin,607765
2025-09-08 18:34:23,ethereum,23353
2025-09-08 18:34:23,cardano,4.69
2025-09-08 18:34:23,solana,1167.5
2025-09-08 18:39:23,bitcoin,608301
2025-09-08 18:39:23,ethereum,23366
2025-09-08 18:39:23,cardano,4.7
2025-09-08 18:39:23,solana,1167.46
2025-10-18 12:21:27,bitcoin,579232
2025-10-18 12:21:27,ethereum,20964
2025-10-18 12:21:27,cardano,3.42
2025-10-18 12:21:27,solana,1002.65
2025-10-18 12:22:28,bitcoin,579103
2025-10-18 12:22:28,ethereum,20961
2025-10-18 12:22:28,cardano,3.42
2025-10-18 12:22:28,solana,1002.7
2025-10-18 12:23:28,bitcoin,579020
2025-10-18 12:23:28,ethereum,20964
2025-10-18 12:23:28,cardano,3.43
2025-10-18 12:23:28,solana,1003.03
2025-10-18 12:24:29,bitcoin,579085
2025-10-18 12:24:29,ethereum,20970
2025-10-18 12:24:29,cardano,3.43
2025-10-18 12:24:29,solana,1003.03
2025-10-18 12:25:29,bitcoin,579068
2025-10-18 12:25:29,ethereum,20970
2025-10-18 12:25:29,cardano,3.43
2025-10-18 12:25:29,solana,1003.09
2025-10-18 12:26:30,bitcoin,579066
2025-10-18 12:26:30,ethereum,20976
2025-10-18 12:26:30,cardano,3.43
2025-10-18 12:26:30,solana,1003.42
2025-10-18 13:04:55,bitcoin,578941
2025-10-18 13:04:55,ethereum,20989
2025-10-18 13:04:55,cardano,3.42
2025-10-18 13:04:55,solana,1001.96
2025-10-18 13:05:11,bitcoin,578941
2025-10-18 13:05:11,ethereum,20989
2025-10-18 13:05:11,cardano,3.42
2025-10-18 13:05:11,solana,1001.96
2025-10-18 13:05:14,bitcoin,578941
2025-10-18 13:05:14,ethereum,20989
2025-10-18 13:05:14,cardano,3.42
2025-10-18 13:05:14,solana,1001.96
2025-10-18 13:05:44,bitcoin,578941
2025-10-18 13:05:44,ethereum,20989
2025-10-18 13:05:44,cardano,3.42
2025-10-18 13:05:44,solana,1001.96
2025-10-18 13:06:45,bitcoin,578789
2025-10-18 13:06:45,ethereum,20976
2025-10-18 13:06:45,cardano,3.42
2025-10-18 13:06:45,solana,1001.61
2025-10-18 13:07:46,bitcoin,578627
2025-10-18 13:07:46,ethereum,20963
2025-10-18 13:07:46,cardano,3.42
2025-10-18 13:07:46,solana,1001.11
2025-10-18 13:08:47,bitcoin,578400
2025-10-18 13:08:47,ethereum,20949
2025-10-18 13:08:47,cardano,3.42
2025-10-18 13:08:47,solana,1000.57
2025-10-18 13:09:47,bitcoin,578430
2025-10-18 13:09:47,ethereum,20953
2025-10-18 13:09:47,cardano,3.42
2025-10-18 13:09:47,solana,1000.35
2025-10-18 13:10:48,bitcoin,578474
2025-10-18 13:10:48,ethereum,20964
2025-10-18 13:10:48,cardano,3.42
2025-10-18 13:10:48,solana,1000.23
2025-10-18 13:11:49,bitcoin,578465
2025-10-18 13:11:49,ethereum,20966
2025-10-18 13:11:49,cardano,3.42
2025-10-18 13:11:49,solana,1000.21
2025-10-18 13:12:05,bitcoin,578465
2025-10-18 13:12:05,ethereum,20966
2025-10-18 13:12:05,cardano,3.42
2025-10-18 13:12:05,solana,1000.21
2025-10-18 13:12:10,bitcoin,578465
2025-10-18 13:12:10,ethereum,20966
2025-10-18 13:12:10,cardano,3.42
2025-10-18 13:12:10,solana,1000.21
2025-10-18 13:12:17,bitcoin,578465
2025-10-18 13:12:17,ethereum,20966
2025-10-18 13:12:17,cardano,3.42
2025-10-18 13:12:17,solana,1000.21
2025-10-18 13:13:18,bitcoin,578360
2025-10-18 13:13:18,ethereum,20955
2025-10-18 13:13:18,cardano,3.42
2025-10-18 13:13:18,solana,999.99
2025-10-18 13:13:21,bitcoin,578360
2025-10-18 13:13:21,ethereum,20955
2025-10-18 13:13:21,cardano,3.42
2025-10-18 13:13:21,solana,999.99
2025-10-18 13:14:22,bitcoin,578278
2025-10-18 13:14:22,ethereum,20954
2025-10-18 13:14:22,cardano,3.41
2025-10-18 13:14:22,solana,999.64
2025-10-18 13:15:23,bitcoin,578365
2025-10-18 13:15:23,ethereum,20965
2025-10-18 13:15:23,cardano,3.41
2025-10-18 13:15:23,solana,999.57
2025-10-18 13:16:23,bitcoin,578393
2025-10-18 13:16:23,ethereum,20965
2025-10-18 13:16:23,cardano,3.41
2025-10-18 13:16:23,solana,999.5
2025-10-18 13:17:24,bitcoin,578386
2025-10-18 13:17:24,ethereum,20968
2025-10-18 13:17:24,cardano,3.41
2025-10-18 13:17:24,solana,999.35
2025-10-18 13:17:58,bitcoin,578386
2025-10-18 13:17:58,ethereum,20968
2025-10-18 13:17:58,cardano,3.41
2025-10-18 13:17:58,solana,999.35
2025-10-18 13:18:58,bitcoin,578210
2025-10-18 13:18:58,ethereum,20957
2025-10-18 13:18:58,cardano,3.4
2025-10-18 13:18:58,solana,999.21
2025-10-18 13:19:02,bitcoin,578210
2025-10-18 13:19:02,ethereum,20957
2025-10-18 13:19:02,cardano,3.4
2025-10-18 13:19:02,solana,999.21
2025-10-18 13:20:02,bitcoin,578061
2025-10-18 13:20:02,ethereum,20950
2025-10-18 13:20:02,cardano,3.4
2025-10-18 13:20:02,solana,999.03
2025-10-18 13:21:03,bitcoin,577980
2025-10-18 13:21:03,ethereum,20943
2025-10-18 13:21:03,cardano,3.4
2025-10-18 13:21:03,solana,998.83
2025-10-18 13:22:04,bitcoin,578119
2025-10-18 13:22:04,ethereum,20945
2025-10-18 13:22:04,cardano,3.4
2025-10-18 13:22:04,solana,999.03
2025-10-18 13:23:04,bitcoin,578105
2025-10-18 13:23:04,ethereum,20946
2025-10-18 13:23:04,cardano,3.4
2025-10-18 13:23:04,solana,998.98
2025-10-18 13:23:06,bitcoin,578105
2025-10-18 13:23:06,ethereum,20946
2025-10-18 13:23:06,cardano,3.4
2025-10-18 13:23:06,solana,998.98
2025-10-18 13:23:46,bitcoin,578105
2025-10-18 13:23:46,ethereum,20946
2025-10-18 13:23:46,cardano,3.4
2025-10-18 13:23:46,solana,998.98
2025-10-18 13:23:48,bitcoin,578105
2025-10-18 13:23:48,ethereum,20946
2025-10-18 13:23:48,cardano,3.4
2025-10-18 13:23:48,solana,998.98
2025-10-18 13:24:04,bitcoin,578105
2025-10-18 13:24:04,ethereum,20946
2025-10-18 13:24:04,cardano,3.4
2025-10-18 13:24:04,solana,998.98
2025-10-18 13:24:44,bitcoin,577675
2025-10-18 13:24:44,ethereum,20909
2025-10-18 13:24:44,solana,997.7
2025-10-18 13:24:44,cardano,3.4
2025-10-18 13:29:36,bitcoin,577828
2025-10-18 13:29:36,ethereum,20915
2025-10-18 13:29:36,solana,996.51
2025-10-18 13:29:36,cardano,3.4
2025-10-18 13:30:37,bitcoin,577796
2025-10-18 13:30:37,ethereum,20920
2025-10-18 13:30:37,solana,996.28
2025-10-18 13:30:37,cardano,3.4
2025-10-18 13:31:38,bitcoin,577631
2025-10-18 13:31:38,ethereum,20915
2025-10-18 13:31:38,solana,996.06
2025-10-18 13:31:38,cardano,3.4
2025-10-18 13:32:38,bitcoin,577546
2025-10-18 13:32:38,ethereum,20901
2025-10-18 13:32:38,solana,995.43
2025-10-18 13:32:38,cardano,3.4
2025-10-18 13:33:39,bitcoin,577071
2025-10-18 13:33:39,ethereum,20890
2025-10-18 13:33:39,solana,995.2
2025-10-18 13:33:39,cardano,3.39
2025-10-18 13:34:40,bitcoin,576797
2025-10-18 13:34:40,ethereum,20873
2025-10-18 13:34:40,solana,994.59
2025-10-18 13:34:40,cardano,3.39
2025-10-18 13:35:41,bitcoin,576609
2025-10-18 13:35:41,ethereum,20874
2025-10-18 13:35:41,solana,994.25
2025-10-18 13:35:41,cardano,3.39
2025-10-18 13:37:48,bitcoin,576892
2025-10-18 13:37:48,ethereum,20890
2025-10-18 13:37:48,solana,994.3
2025-10-18 13:42:49,bitcoin,576415
2025-10-18 13:42:49,ethereum,20866
2025-10-18 13:42:49,solana,993.22
2025-10-18 13:48:43,bitcoin,576981
2025-10-18 13:48:43,ethereum,20889
2025-10-18 13:48:43,solana,993.85
2025-10-18 13:48:43,cardano,3.39
2025-10-18 13:50:41,bitcoin,576985
2025-10-18 13:50:41,ethereum,20870
2025-10-18 13:50:41,solana,993.72
2025-10-18 13:50:41,cardano,3.39
2025-10-18 13:50:41,bitcoin,576985
2025-10-18 13:50:41,ethereum,20870
2025-10-18 13:50:41,solana,993.72
2025-10-18 13:50:41,cardano,3.39
2025-10-18 13:52:46,bitcoin,577125
2025-10-18 13:52:46,ethereum,20875
2025-10-18 13:52:46,cardano,3.4
2025-10-18 13:52:46,solana,994.18
2025-10-18 13:52:47,bitcoin,577125
2025-10-18 13:52:47,ethereum,20875
2025-10-18 13:52:47,cardano,3.4
2025-10-18 13:52:47,solana,994.18
2025-10-18 13:54:14,bitcoin,577170
2025-10-18 13:54:14,ethereum,20890
2025-10-18 13:54:14,cardano,3.4
2025-10-18 13:54:14,solana,994.52
